work_order_id,cluster
WO-0000686,-1
WO-0000687,-1
WO-0000688,-1
WO-0000689,-1
WO-0000690,-1
WO-0000691,-1
WO-0000692,-1
WO-0000693,0
WO-0000694,-1
WO-0000695,-1
WO-0000696,-1
WO-0000697,-1
WO-0000698,-1
WO-0000699,-1
WO-0000700,-1
WO-0000701,-1
WO-0000702,-1
WO-0000703,-1
WO-0000704,-1
WO-0000705,-1
WO-0000706,0
WO-0000707,0
WO-0000708,-1
WO-0000709,-1
WO-0000710,-1
WO-0000711,-1
WO-0000712,-1
WO-0000713,-1
WO-0000714,-1
WO-0000715,-1
WO-0000716,-1
WO-0000717,-1
WO-0000718,-1
WO-0000719,0
WO-0000720,-1
WO-0000721,-1
WO-0000722,-1
WO-0000723,-1
WO-0000724,-1
WO-0000725,-1
WO-0000726,0
WO-0000727,-1
WO-0000728,-1
WO-0000729,-1
WO-0000730,-1
WO-0000731,-1
WO-0000732,-1
WO-0000733,-1
WO-0000734,-1
WO-0000735,-1
WO-0000736,-1
WO-0000737,-1
WO-0000738,-1
WO-0000739,-1
WO-0000740,-1
WO-0000741,-1
WO-0000742,-1
WO-0000743,-1
WO-0000744,-1
WO-0000745,-1
WO-0000746,-1
WO-0000747,-1
WO-0000748,-1
WO-0000749,-1
WO-0000750,-1
WO-0000751,-1
WO-0000752,0
WO-0000753,-1
WO-0000754,-1
WO-0000755,0
WO-0000756,-1
WO-0000757,-1
WO-0000758,-1
WO-0000759,-1
WO-0000760,-1
WO-0000761,-1
WO-0000762,-1
WO-0000763,-1
WO-0000764,-1
WO-0000765,-1
WO-0000766,-1
WO-0000767,-1
WO-0000768,0
WO-0000769,-1
WO-0000770,-1
WO-0000771,0
WO-0000772,-1
WO-0000773,-1
WO-0000774,0
WO-0000775,0
WO-0000776,-1
WO-0000777,-1
WO-0000778,-1
WO-0000779,-1
WO-0000780,-1
WO-0000781,-1
WO-0000782,-1
WO-0000783,-1
WO-0000784,-1
WO-0000785,-1
WO-0000786,-1
WO-0000787,-1
WO-0000788,-1
WO-0000789,-1
WO-0000790,-1
WO-0000791,0
WO-0000792,-1
WO-0000793,-1
WO-0000794,-1
WO-0000795,-1
WO-0000796,-1
WO-0000797,0
WO-0000798,-1
WO-0000799,-1
WO-0000800,-1
WO-0000801,-1
WO-0000802,-1
WO-0000803,-1
WO-0000804,-1
WO-0000805,-1
WO-0000806,-1
WO-0000807,-1
WO-0000808,0
WO-0000809,-1
WO-0000810,-1
WO-0000811,0
WO-0000812,-1
WO-0000813,0
WO-0000814,-1
WO-0000815,0
WO-0000816,-1
WO-0000817,-1
WO-0000818,-1
WO-0000819,0
WO-0000820,-1
WO-0000821,-1
WO-0000822,0
WO-0000823,-1
WO-0000824,-1
WO-0000825,-1
WO-0000826,-1
WO-0000827,-1
WO-0000828,-1
WO-0000829,-1
WO-0000830,-1
WO-0000831,-1
WO-0000832,0
WO-0000833,-1
WO-0000834,0
WO-0000835,-1
WO-0000836,-1
WO-0000837,-1
WO-0000838,-1
WO-0000839,-1
WO-0000840,-1
WO-0000841,-1
WO-0000842,-1
WO-0000843,-1
